"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: mode","Param: numHash","Param: size","Param: sleep","Param: soft","Param: suffix"
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,4.698165,0.039413,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,94.700575,4.544472,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,223.951017,1.243864,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Quasar.bench","thrpt",1,12,4.658004,0.033540,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,160.257642,5.355855,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,136.051732,4.567347,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,41.782420,0.237532,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,4.699333,0.033123,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,121.913819,2.292578,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,135.525636,2.739478,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,72.948761,3.660123,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,154.517772,5.316378,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,106.850779,1.338066,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,36.904852,0.362979,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,113.100595,0.680933,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,149.558683,6.141670,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,16.676449,2.548110,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,2.574885,0.103355,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,8.740659,0.582200,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,152.154176,3.520649,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,21.228966,0.117462,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,4.724983,0.052897,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,4.431847,0.026628,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,158.051757,2.166238,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,4.461354,0.023115,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,111.891818,0.947038,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,115.918499,0.809429,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,17.923001,1.875092,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,4.413159,0.085533,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,33.872915,0.382323,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,133.196662,3.127123,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,127.661936,2.131628,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,137.613750,1.642257,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,167.719712,1.565569,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,30.416696,0.204141,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,164.911151,4.047100,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,107.006057,2.488252,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,22.508442,0.319375,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,132.533128,1.061427,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,124.912243,2.592498,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,2.496986,0.083920,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,34.949136,0.307967,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,113.086318,2.153780,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,76.699942,0.815574,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,40.953045,0.081665,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,32.964316,0.410426,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,4.433484,0.028038,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,34.373414,0.455992,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Quasar.bench","thrpt",1,12,100.378991,2.127753,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,4.676252,0.026826,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,84.922464,0.341256,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,162.965641,0.978613,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,94.854213,0.839677,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,2.556448,0.096840,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,8.508528,0.838645,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,35.051588,0.293150,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,219.119029,1.758844,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,114.018731,2.512405,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,117.031957,1.543632,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,4.436780,0.022317,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,106.670470,2.356068,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Quasar.bench","thrpt",1,12,11.078766,0.098467,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,4.449091,0.028272,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,221.960477,0.847012,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,94.510772,7.795026,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,2.531996,0.093443,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,22.078230,0.042598,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,103.841581,2.284642,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,153.903209,0.891735,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,40.891111,0.302253,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,34.196930,7.334310,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,4.581056,0.060043,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,68.299979,0.083498,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,16.956758,2.988072,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,131.285753,3.046546,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,198.729969,1.497460,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,113.771658,2.989248,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,141.997105,2.493162,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,160.215366,2.460221,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,4.693296,0.044289,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,29.808859,0.281293,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,90.411095,0.384169,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,27.321799,0.215160,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,37.258489,0.245845,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,24.791955,0.317547,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,113.695143,0.361903,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,27.905548,0.357471,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,159.535356,3.580285,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,2.531543,0.055445,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,161.295298,3.140537,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,200.318477,1.992274,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,2.557297,0.095603,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,211.696606,2.971372,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,184.916427,3.074297,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,116.376556,0.678647,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,198.133474,3.921737,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,114.231514,0.758761,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,141.160876,6.670182,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,147.683474,1.798531,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,41.648476,0.277674,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,2.357598,0.071859,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Quasar.bench","thrpt",1,12,148.333605,2.163759,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,175.712058,0.645005,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,68.675361,0.180652,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,2.404461,0.064278,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,36.499166,0.057887,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,4.563919,0.052959,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,34.540370,0.309049,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,130.916452,4.010115,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,32.789041,0.226624,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,41.788148,0.221245,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,68.090075,0.132791,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,118.434425,1.970897,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,7.316281,0.716815,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,120.223338,5.015505,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,92.705413,0.446600,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,128.248117,2.367288,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,93.353342,0.415537,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,4.442245,0.021457,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,21.681058,0.165570,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,39.644457,0.209607,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,162.247036,2.330639,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Quasar.bench","thrpt",1,12,2.923534,0.437556,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,5.844305,0.496512,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,116.171703,2.268620,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,116.957985,1.555864,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,173.178981,4.406803,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,170.009619,3.310431,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,4.435410,0.035487,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,138.167053,9.315413,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,4.712988,0.021276,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,154.098292,4.293403,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,4.433043,0.027484,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,4.409372,0.072442,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,151.520203,6.849288,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,73.520473,1.518066,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,25.311736,0.293844,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,4.752498,0.020034,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,2.509299,0.085472,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,160.779282,0.818707,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Quasar.bench","thrpt",1,12,4.651897,0.057146,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,94.543941,0.396526,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,4.461840,0.015414,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,4.711479,0.025487,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Push.bench","thrpt",1,12,157.896759,2.474773,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,2.504309,0.070427,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,118.645092,1.507725,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,206.029531,2.883861,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,34.644375,0.289674,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,37.177242,0.307984,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,34.792142,0.287278,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,100.584424,1.440195,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Stream8.bench","thrpt",1,12,186.062525,1.445222,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,29.674974,0.211872,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,90.644817,0.462323,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,4.433068,0.042205,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,126.958205,6.868858,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,39.987173,0.252159,"ops/s",cost,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Movie.bench","thrpt",1,12,119.566109,0.606579,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.QuasarFair.bench","thrpt",1,12,78.638570,1.373453,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.RxJava.bench","thrpt",1,12,143.670591,11.372089,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Jctools.bench","thrpt",1,12,141.033272,7.875069,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,2.521158,0.069557,"ops/s",burn,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Direct.bench","thrpt",1,12,64.734808,0.046813,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,114.187852,1.981841,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.ForkJoin.bench","thrpt",1,12,142.650177,2.860570,"ops/s",fast,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.JctoolsFair.bench","thrpt",1,12,117.496310,1.479622,"ops/s",all,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Conversant.bench","thrpt",1,12,130.601409,1.692650,"ops/s",delay,0,0,0,32,ks
"direct.ShakespearePlaysScrabbleWithQueues.Kilim.bench","thrpt",1,12,125.149427,1.158210,"ops/s",delay,0,0,0,32,ks
